2/27/2003	77.9	78.59	76.75	77.28	9927900	0	-4208566	0	0	0
2/28/2003	78.15	78.47	77	77.95	6556100	0	-2290796	0	0	0
3/3/2003	78.6	79	77.12	77.33	6618300	0	-7430539	0	0	0
3/4/2003	77.6	77.75	76.53	76.7	5672200	0	-11521962	0	0	0
3/5/2003	76.7	77.73	76.25	77.73	6659100	0	-4862862	0	0	0
3/6/2003	77	77.78	76.7	77.07	5877000	0	-6713029	0	0	0
3/7/2003	76.15	77.99	75.71	77.9	8129200	0	774392	0	0	0
3/10/2003	77.01	77.45	75.5	75.7	6642600	0	-4505623	0	0	0
3/11/2003	76.15	76.33	75.2	75.35	8121000	0	-10470605	0	0	0
3/12/2003	75.25	75.63	73.17	75.18	12768200	0	-2373698	0	0	0
3/13/2003	76	78.68	75.31	78.45	10450600	0	6650410	0	0	0
3/14/2003	78.45	79.48	78.11	79	10117700	0	9678335	0	0	0
3/17/2003	78	82.67	77.84	82.46	15195600	0	23552579	0	0	0
3/18/2003	82.21	83.5	81.49	82.47	10795500	0	23284034	0	0	0
3/19/2003	81.85	82.5	81.08	82	10474100	0	26382007	0	0	0
3/20/2003	81.1	82.49	80.64	82.2	9048600	0	32593749	0	0	0
3/21/2003	83.4	84.9	82.77	84.9	12597800	0	45191549	0	0	0
3/24/2003	82.5	83.35	82.24	82.25	9347600	0	36012374	0	0	0
3/25/2003	82	84	81.74	83.45	8777100	0	40517434	0	0	0
3/26/2003	83	83.25	81.18	81.55	10531600	0	33750754	79.35	85.18	73.51
3/27/2003	80.75	82.33	80.51	81.45	7265800	0	33990286	79.55	85.38	73.73
3/28/2003	81	81.99	80.5	80.85	6649300	0	30464818	79.7	85.5	73.9
3/31/2003	79.26	79.61	78.31	78.43	10306100	0	22061383	79.75	85.49	74.02
4/1/2003	78.5	79.56	78.12	78.73	7866900	0	20859495	79.86	85.44	74.27
4/2/2003	80.45	81.97	79.9	81.46	9700900	0	25780242	80.04	85.58	74.51
4/3/2003	82.32	83.48	81.72	81.91	9627200	0	18231642	80.28	85.7	74.87
4/4/2003	82.35	82.55	80.04	80.79	8986000	0	14615761	80.43	85.73	75.12
