0   0   0   0x000000
255 0   0   0xff0000
255 255 0   0xffff00
255 255 255 0xffffff
0   255 255 0x00ffff
255 0   255 0xff00ff
0   255 0   0x00ff00
0   0   255 0x0000ff
56 34 136  0x382288
210 19 250  0xd213fa
144 131 60  0x90833c
168 58 172  0xa83aac
62 228 194  0x3ee4c2
226 198 176  0xe2c6b0
199 26 61  0xc71a3d
195 67 71  0xc34347
176 72 149  0xb04895
1 236 174  0x01ecae
239 105 220  0xef69dc
117 32 153  0x752099
56 129 84  0x388154
199 150 233  0xc796e9
152 219 89  0x98db59
134 93 151  0x865d97
19 124 131  0x137c83
242 126 61  0xf27e3d
127 236 178  0x7fecb2
108 232 116  0x6ce874
61 197 61  0x3dc53d
126 184 65  0x7eb841
154 147 192  0x9a93c0
214 70 48  0xd64630
190 191 110  0xbebf6e
86 154 187  0x569abb
167 246 146  0xa7f692
208 229 46  0xd0e52e
31 222 37  0x1fde25
1 145 248  0x0191f8
26 38 174  0x1a26ae
187 140 16  0xbb8c10
250 227 2  0xfae302
172 97 104  0xac6168
217 94 113  0xd95e71
125 54 250  0x7d36fa
192 134 174  0xc086ae
22 56 102  0x163866
151 84 21  0x975415
94 81 77  0x5e514d
8 227 30  0x08e31e
230 239 244  0xe6eff4
16 154 93  0x109a5d
137 80 70  0x895046
159 128 122  0x9f807a
200 250 199  0xc8fac7
15 41 113  0x0f2971
210 128 24  0xd28018
126 242 73  0x7ef249
150 139 223  0x968bdf
74 119 237  0x4a77ed
179 74 252  0xb34afc
234 9 140  0xea098c
119 56 99  0x773863
239 124 104  0xef7c68
249 85 88  0xf95558
211 234 72  0xd3ea48
146 223 190  0x92dfbe
135 203 65  0x87cb41
174 46 237  0xae2eed
89 109 52  0x596d34
30 180 49  0x1eb431
217 127 61  0xd97f3d
128 180 165  0x80b4a5
250 175 216  0xfaafd8
234 153 219  0xea99db
122 135 163  0x7a87a3
66 171 180  0x42abb4
142 131 94  0x8e835e
54 81 213  0x3651d5
14 168 249  0x0ea8f9
148 155 169  0x949ba9
94 197 205  0x5ec5cd
133 74 178  0x854ab2
253 226 172  0xfde2ac
74 54 131  0x4a3683
131 198 59  0x83c63b
103 183 35  0x67b723
144 157 175  0x909daf
26 143 165  0x1a8fa5
67 213 44  0x43d52c
105 251 26  0x69fb1a
44 224 121  0x2ce079
95 190 168  0x5fbea8
154 93 246  0x9a5df6
0 108 32  0x006c20
91 205 67  0x5bcd43
47 205 112  0x2fcd70
228 173 117  0xe4ad75
54 53 144  0x363590
146 243 190  0x92f3be
42 196 100  0x2ac464
49 129 49  0x318131
195 70 53  0xc34635
29 67 226  0x1d43e2
133 201 242  0x85c9f2
41 157 150  0x299d96
